Istasyon_No,Istasyon_Adi,YIL,AY,value,Enlem,Boylam,Rakim,var
17250,NIGDE,1991,1,-12.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1991,2,-23.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1991,3,-6.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1991,4,0.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1991,5,1.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1991,6,6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1991,7,12,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1991,8,11.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1991,9,6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1991,10,-0.1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1991,11,-2.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1991,12,-15.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1992,1,-18.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1992,2,-21.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1992,3,-17.3,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1992,4,-0.9,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1992,5,1.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1992,6,7.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1992,7,8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1992,8,9,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1992,9,1.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1992,10,0.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1992,11,-12,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1992,12,-18,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1993,1,-15.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1993,2,-17.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1993,3,-5.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1993,4,-0.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1993,5,3.5,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1993,6,6.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1993,7,9.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1993,8,11,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1993,9,3.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
